,title,abstract,bart_base,bart_cnn,bart_xsum,t5_small,gpt2,pegasus_xsum
0,Improved Zero-shot Neural Machine Translation via Ignoring Spurious Correlations,"Zero-shot translation, translating between language pairs on which a Neural Machine Translation (NMT) system has never been trained, is an emergent property when training the system in multilingual settings. However, naive training for zero-shot NMT easily fails, and is sensitive to hyper-parameter setting. The performance typically lags far behind the more conventional pivot-based approach which translates twice using a third language as a pivot. In this work, we address the degeneracy problem due to capturing spurious correlations by quantitatively analyzing the mutual information between language IDs of the source and decoded sentences. Inspired by this analysis, we propose to use two simple but effective approaches: (1) decoder pre-training; (2) back-translation. These methods show significant improvement (4 22 BLEU points) over the vanilla zero-shot translation on three challenging multilingual datasets, and achieve similar or better results than the pivot-based approach.",<TITLE>Quantitatively Analyzing Language Interactions for Zero-Shot Neural MT<TITLE>Quantitatively Analyzing Language Interactions in Zero-Shot Translation<TITLE>Zero-Shot Neural Machine Translation with Language Interactions<TITLE>Zero-Shot Neural Machine Translation with Mutual Information<TITLE>Zero-Shot Neural Machine Translation with Language Identification,<TITLE>Zero-Shot Neural Machine Translation as a Pivot-Based Degeneration of Spurious Correlation between Source and Target Decoding<TITLE>Zero-Shot Neural Machine Translation as a Pivot-Based Degeneration of Spurious Correlation between Source and Target Sentences<TITLE>Zero-Shot Neural Machine Translation as a Pivot-Based Degeneration of Spurious Correlation between Language Sources and Sentences<TITLE>Zero-Shot Neural Machine Translation as a Pivot-Based Degeneration of Spurious Correlation between Source and Target Information with<TITLE>Zero-Shot Neural Machine Translation as a Pivot-Based Degeneration of Spurious Correlation between Source and Target Information.,<TITLE>Pre-training and Back-translation for Zero-Shot Neural Machine Translation in Multilingual Settings<TITLE>Pre-training and Back-translation for Zero-Shot Neural Machine Translation in Multilingual Setting<TITLE>Pre-training and Back-translation for Zero-Shot Neural Machine Translation<TITLE>Pre-training and Back-translation for Zero-Shot Neural Machine Translation<TITLE>Pre-training and Back-translation for Zero-Shot Neural Machine Translation,<TITLE>Null-Shot Translation with Decoder Pre-training and Back-Translation<TITLE>Null-Shot Translation with Decoder Pre-training and Back-translation<TITLE>Null-Shot Translation via Decoding Pre-training and Back-Translation.<TITLE>Null-Shot Translation via Decoding Pre-training and Back-Translation<TITLE>Null-Shot Translation with Decoding Pre-training and Back-Translation,<TITLE> Neural Machine Translation with Arbitrary Correlations<TITLE> Neural Machine Translation with Arbitrary Correlation<TITLE> Neural Machine Translation with No-Pivot Training<TITLE> Neural Machine Translation with No-Pivot Pre-training<TITLE> Neural Machine Translation with Pseudo Pivot-based Training,<TITLE>Decoupling the Source Language and the Target Language for Zero-Shot Neural Machine Translation<TITLE>Decoupling the Source Language and the Target Language for Zero-shot Neural Machine Translation<TITLE>Improving Zero-Shot Neural Machine Translation with Decoding and Back-Translation Methods<TITLE>Improving Zero-Shot Neural Machine Translation with Decoding and Back-translation Methods<TITLE>Improving Zero-Shot Neural Machine Translation with Decoding and Back-Translation
1,Biomedical Entity Representations with Synonym Marginalization,"Biomedical named entities often play important roles in many biomedical text mining tools. However, due to the incompleteness of provided synonyms and numerous variations in their surface forms, normalization of biomedical entities is very challenging. In this paper, we focus on learning representations of biomedical entities solely based on the synonyms of entities. To learn from the incomplete synonyms, we use a model-based candidate selection and maximize the marginal likelihood of the synonyms present in top candidates. Our model-based candidates are iteratively updated to contain more difficult negative samples as our model evolves. In this way, we avoid the explicit pre-selection of negative samples from more than 400K candidates. On four biomedical entity normalization datasets having three different entity types (disease, chemical, adverse reaction), our model BioSyn consistently outperforms previous state-of-the-art models almost reaching the upper bound on each dataset.",<TITLE>Modeling Biomedical Named Entity Normalization with Incomplete Synonyms<TITLE>Modeling Biomedical Named Entity Normalization from Incomplete Synonyms<TITLE>Modeling Biomedical Entity Normalization with Synonyms of Entities<TITLE>Modeling Biomedical Named Entity Normalization with Synonym Selection<TITLE>Modeling Biomedical Named Entity Normalization with Synonyms,<TITLE>Learning Representations of Biomedical Entities from Incomplete Synonym-Based Candidate Selection and Maximum Marginal Likelihood Maximization<TITLE>Learning Representations of Biomedical Named Entities from Incomplete Synonym-Based Candidate Selection and Maximum Marginal Likelihood Maxim<TITLE>Learning Representations of Biomedical Entities from Incomplete Synonym-Based Candidate Selection and Maximum Marginal Likelihood for Text<TITLE>Learning Representations of Biomedical Entities from Incomplete Synonym-Based Candidate Selection and Maximizing Marginal Likelihood for<TITLE>Learning Representations of Biomedical Entities from Incomplete Synonym-Based Candidate Selection and Maximum Marginal Likelihood for Normal,<TITLE>Biomedical Entity Normalization based on the Synonym Selection of Entities<TITLE>Biomedical Entity Normalization Based on the Synonym Selection of Entities<TITLE>Biomedical Entity Normalization Based on the Synonym of Entities<TITLE>Biomedical Entity Normalization Using Model-Based Synonym Selection<TITLE>Biomedical Entity Normalization Using Model-Based Candidate Selection,<TITLE>Learning Representations of Biomedical Entities based on Synonyms<TITLE>Learning Representations of Biomedical Entity based on Synonyms<TITLE>Learning Representations of Biomedical Entities Based on Synonyms<TITLE>Learning Biomedical Entity Representations based on Synonyms<TITLE>Learning Representations of Biomedical Entities from Synonyms,<TITLE> Learning Representations of Biomedical Entities Based on Synonyms<TITLE> Learning Representations of Biomedical Entities Based on Synonym Selection<TITLE> Learning Representations of Biomedical Entities with Synonyms<TITLE> Learning Representations of Biomedical Entities by Maximizing Marginal Likelihood<TITLE> Learning Representations of Biomedical Entities by Maximizing Marginal Probability,<TITLE>Learning Representations of Biomedical Named Entities from Incomplete Synonyms<TITLE>Learning Representations of Biomedical Named Expressions from Incomplete Synonyms<TITLE>Learning Representations of Biomedical Named Entities from Incomplete Synonym<TITLE>Learning Biomedical Entity Normalization from Incomplete Synonyms.<TITLE>Learning Biomedical Entity Normalization from Incomplete Synonyms
2,Shaping Visual Representations with Language for Few-Shot Classification,"By describing the features and abstractions of our world, language is a crucial tool for human learning and a promising source of supervision for machine learning models. We use language to improve few-shot visual classification in the underexplored scenario where natural language task descriptions are available during training, but unavailable for novel tasks at test time. Existing models for this setting sample new descriptions at test time and use those to classify images. Instead, we propose language-shaped learning (LSL), an end-to-end model that regularizes visual representations to predict language. LSL is conceptually simpler, more data efficient, and outperforms baselines in two challenging few-shot domains.",<TITLE>Language-shaped Learning for Few-Shot Visual Classification<TITLE>Language-shaped Learning for Few-shot Visual Classification<TITLE>Language-Shape Learning for Few-Shot Visual Classification<TITLE>Language-Shape Learning for Few-shot Visual Classification<TITLE>Language-shaped Learning for Few-Shot Image Classification,<TITLE>Language-Shared Few-shot Visual Classification with End-to-End Modeling of Natural Language Descriptors and Abstract<TITLE>Language-Shared Few-Shot Visual Classification with End-to-End Modeling of Natural Language Descriptors and Abstract<TITLE>Language-Shared Few-shot Visual Classification with End-to-End Modeling of Natural Language Descriptors and Text<TITLE>Language-Shared Few-Shot Visual Classification with End-to-End Modeling of Natural Language Descriptors and Text<TITLE>Language-Shared Few-shot Visual Classification with End-to-End Modeling of Natural Language Descriptors and Image,<TITLE>Language-Shaped Learning for Few-Shot Visual Classification<TITLE>Language-Shaped Learning for Few-shot Visual Classification<TITLE>Language-Shaped Learning for Few-Shot Classification<TITLE>Language-Shaped Learning for Few-Shot Visual Classification<TITLE>Language-Shaped Learning for Few-Shot Visual Classification,<TITLE>Language-shaped Learning for Few-Shot Visual Classification<TITLE>Language-shaped Learning for Few-shot Visual Classification<TITLE>Language-shaped Learning for Visual Classification<TITLE>Language-shaped Learning to Predict Language<TITLE>Language-shaped Learning,<TITLE> Language-Structure Learning for Few-Shot Visual Classification<TITLE> Language-Structure Learning for Few-shot Visual Classification<TITLE> Language-Oriented Few-Shot Visual Classification<TITLE> Language-Sensitive Few-Shot Visual Classification<TITLE> Language-Structure Learning for Visual Classification,<TITLE>Language-Shaped Learning for Few-Shot Visual Classification<TITLE>Language-Shaped Learning for Few-shot Visual Classification<TITLE>Language-shaped Learning for Few-Shot Visual Classification<TITLE>Language-shaped Learning for Few-shot Visual Classification<TITLE>Language-Shaped Learning for Few-Shot Visual Recognition
3,Ellipsis Resolution with Underspecified Scope,"The paper presents an approach to ellipsis resolution in a framework of scope underspecification (Underspecified Discourse Representation Theory). It is argued that the approach improves on previous proposals to integrate ellipsis resolution and scope underspecification (Crouch, 1995; Egg et al., 2001) in that application processes like anaphora resolution do not require full disambiguation but can work directly on the underspecified representation. Furthermore it is shown that the approach presented can cope with the examples discussed by Dalrymple et al. (1991) as well as a problem noted recently by Erk and Koller (2001).",<TITLE>E ellipsis resolution and scope underspecification in Underspecified Discourse Representations<TITLE>E ellipsis resolution and scope underspecification: an application process based approach<TITLE>E ellipsis resolution in a framework of scope underspecification<TITLE>Unsupervised ellipsis resolution and scope underspecification<TITLE>Applying ellipsis resolution to underspecified discourse representation,<TITLE>Ellipsis Resolution in Underspecified Discourse Representation Theory: An Approach to Ellipsis and Scope Und<TITLE>Ellipsis Resolution in Underspecified Discourse Representation Theory: An Application to Ellipsis and Scope Unders<TITLE>Ellipsis Resolution in Underspecified Discourse Representation Theory: An Approach to Ellipsis Descriptors<TITLE>Ellipsis Resolution in Underspecified Discourse Representation Theory: An Application to Ellipsis and Scope Und<TITLE>Ellipsis Resolution in Underspecified Discourse Representation Theory: An Application Processes and anaphora Resolution with,<TITLE>Ellipsis Resolution in a Scope Underspecification Framework<TITLE>Ellipsis Resolution in a Framework of Scope Underspecification.<TITLE>Ellipsis Resolution in a Scope Underspecified Context<TITLE>Ellipsis Resolution in a Framework of Scope Underspecification<TITLE>Ellipsis Resolution in a Scope Underspecification Framework,<TITLE>A Framework for ellipsis resolution in scope underspecification<TITLE>A Framework for ellipsis resolution with scope underspecification<TITLE>A Framework for ellipsis Resolution in scope underspecification<TITLE>Scope Underspecification for ellipsis resolution<TITLE>Scope Underspecification for ellipsis Resolution,<TITLE> Anaphora Resolution and Scope Underspecification<TITLE> An Ellipsis Resolution Approach to Underspecified Discourse<TITLE> A Framework for Ellipsis Resolution<TITLE> An Ellipsis Resolution Approach<TITLE> Anaphora Resolution and Scope Underspecification in Context,<TITLE>ellipsis Resolution in an Underspecified Discourse Representation<TITLE>ellipsis Resolution with Scope Underspecification<TITLE>ellipsis Resolution and Scope Underspecification<TITLE>ellipsis Resolution and Scope underspecification<TITLE>ellipsis Resolution with Scope Underspecification
4,Deriving lexical and syntactic expectation-based measures for psycholinguistic modeling via incremental top-down parsing,"A number of recent publications have made use of the incremental output of stochastic parsers to derive measures of high utility for psycholinguistic modeling, following the work of Hale (2001; 2003; 2006). In this paper, we present novel methods for calculating separate lexical and syntactic surprisal measures from a single incremental parser using a lexicalized PCFG. We also present an approximation to entropy measures that would otherwise be intractable to calculate for a grammar of that size. Empirical results demonstrate the utility of our methods in predicting human reading times.",<TITLE>Estimating High Utility Measures for Psycholinguistic Modeling<TITLE>Estimating High Utility Measures for Psycholinguistic Models<TITLE>Estimating High Utility Measures from Incremental Parser Output<TITLE>Estimating High Utility Measures from Incremental Parsing Output<TITLE>Estimating High Utility Measures from Incremental Parsers,<TITLE>Incremental Measures of Psycholinguistic Modeling Using an Incremental Parser and Entropy Measures from a Single Incremental<TITLE>Incremental Measures of Psycholinguistic Modeling Using an Incremental Parser and Entropy Measures for Predicting Human Reading<TITLE>Incremental Measures of Psycholinguistic Modeling Using an Incremental Parser using a Lexicalized PCFG and Ent<TITLE>Incremental Measures of Psycholinguistic Modeling Using an Incremental Parser and a Lexicalized PCFG-Based<TITLE>Incremental Measures of Psycholinguistic Modeling Using an Incremental Parser and a Lexicalized PCFG-based,<TITLE>Incremental Measures of High Utility for Psycholinguistic Modeling and Reading Times<TITLE>Incremental Measures of High Utility for Psycholinguistic Modeling and Prediction<TITLE>Incremental Measures of High Utility for Psycholinguistic Modeling<TITLE>Incremental Measures of High Utility in Psycholinguistic Modeling<TITLE>Incremental Measures of High Utility for Psycholinguistic Modeling,<TITLE>Calculating Separate Lexical and Syntactic Surprisal Measures from a Single Incremental Parser<TITLE>Calculing Separate Lexical and Syntactic Surprisal Measures from a Single Incremental Parser<TITLE>Calculating Separate Lexical and Syntactic Surprisal Measures from a Single Incentive Parser<TITLE>Calculating Separate Lexical and Syntactic Surprisal Measures from a Single Incentives Parser<TITLE>Calculating Separate Lexical and Syntactic Surprisal Measures using a Lexicalized PCFG,<TITLE> Incremental Parsing with Lexicalized PCFGs<TITLE> Incremental Parsing Using Lexicalized PCFGs<TITLE> Incremental Parsing with Lexicalized PCFG Measures<TITLE> Incremental Incremental Parsing with Lexicalized PCFG<TITLE> Incremental Incremental Parsing Using Lexicalized PCFG,<TITLE>Lexical and Syntactic Surprisal Measures from an Incremental PCFG<TITLE>Lexical and Syntactic Surprisal Measures for Incremental PCFGs<TITLE>Lexical and Syntactic Surprisal Measures of Incremental PCFG Output<TITLE>Lexical and Syntactic Surprisal Measures for Incremental PCFG Output<TITLE>Lexical and Syntactic Surprisal Measures for Incremental PCFG
5,Shared Logistic Normal Distributions for Soft Parameter Tying in Unsupervised Grammar Induction,"We present a family of priors over probabilistic grammar weights, called the shared logistic normal distribution. This family extends the partitioned logistic normal distribution, enabling factored covariance between the probabilities of different derivation events in the probabilistic grammar, providing a new way to encode prior knowledge about an unknown grammar. We describe a variational EM algorithm for learning a probabilistic grammar based on this family of priors. We then experiment with unsupervised dependency grammar induction and show significant improvements using our model for both monolingual learning and bilingual learning with a non-parallel, multilingual corpus.",<TITLE>Learning Probabilistic Grammar Priors with Shared Logistic Normal Distributions<TITLE>Learning Probabilistic Grammars with Shared Logistic Normal Distributions<TITLE>Learning Probabilistic Grammars with Shared Logistic Normal Distributions.<TITLE>Learning Probabilistic Grammars using Shared Logistic Normal Distributions.<TITLE>Learning Probabilistic Grammars using Shared Logistic Normal Distributions,<TITLE>Unsupervised Dependency Grammar Induction with Shared Logistic Normal Distributions and Probabilistic Priors over Probabil<TITLE>Unsupervised Dependency Grammar Induction with Shared Logistic Normal Distributions and Variational EM Algorithms over Prob<TITLE>Unsupervised Dependency Grammar Induction with Shared Logistic Normal Distributions and Probabilistic Priors over Belief Networks<TITLE>Unsupervised Dependency Grammar Induction with Shared Logistic Normal Distributions and Probabilistic Priors over Belief Prop<TITLE>Unsupervised Dependency Grammar Induction with Shared Logistic Normal Distributions and Variational EM Algorithms over Pri,<TITLE>A Shared Logistic Normal Distribution for Learning Probabilistic Grammar<TITLE>A Shared Logistic Normal Distribution for Grammar Induction<TITLE>A Shared Logistic Normal Distribution for Grammar Induction<TITLE>A Shared Logistic Normal Distribution for Grammar Learning<TITLE>A Shared Logistic Normal Distribution for Grammar Induction,<TITLE>Partitioned Logistic Normal Distribution for Probabilistic Grammars<TITLE>Partitioned Logistic Normal Distribution of Probabilistic Grammars<TITLE>A Variational EM algorithm for learning Probabilistic Grammars<TITLE>Partitioned Logistic Normal Distribution for Probabilistic Grammar Knowledge<TITLE>Partitioned Logistic Normal Distribution for Probabilistic Grammar,<TITLE> Learning Probabilistic Grammars with Shared Logistic Normal Distributions<TITLE> Unsupervised Probabilistic Grammar Induction and Bilingual Learning<TITLE> Unsupervised Probabilistic Grammar Induction<TITLE> Learning Probabilistic Grammars with Shared Logistic Regular Distributions<TITLE> Unsupervised Dependency Grammar Induction and Bilingual Learning,<TITLE>A Shared Logistic Normal Distribution for Learning Probabilistic Grammars<TITLE>A Family of Priors over Probabilistic Grammar Weights<TITLE>A Shared Logistic Normal Distribution for Probabilistic Grammar Induction<TITLE>A Shared Logistic Normal Distribution for Probabilistic Grammars<TITLE>A Shared Logistic Normal Distribution for Unsupervised Grammar Induction
6,Inherent Disagreements in Human Textual Inferences,"We analyze human's disagreements about the validity of natural language inferences. We show that, very often, disagreements are not dismissible as annotation ""noise"", but rather persist as we collect more ratings and as we vary the amount of context provided to raters. We further show that the type of uncertainty captured by current state-of-the-art models for natural language inference is not reflective of the type of uncertainty present in human disagreements. We discuss implications of our results in relation to the recognizing textual entailment (RTE)/natural language inference (NLI) task. We argue for a refined evaluation objective that requires models to explicitly capture the full distribution of plausible human judgments.",<TITLE>A Refined Evaluation of Human's Discussions about Natural Language Inference<TITLE>A Refined Evaluation of Human's Discourse about Natural Language Inference<TITLE>The Uncertainty of Natural Language Inference: A Refined Evaluation<TITLE>Understanding Human's Discussions about Natural Language Inference<TITLE>The Uncertainty of Natural Language Inference,<TITLE>An Analysis of Human's Disagreement about the validity of natural language inferring textual entailments in RTE/natural language<TITLE>An Analysis of Human's Disagreement about the validity of natural language inferring textual entailments in RTE-based inference<TITLE>An Analysis of Human's Disagreement about the validity of natural language inferring textual entailments in RTE-based Natural<TITLE>An Analysis of Human's Disagreement about the validity of natural language inferring textual entailments in RTE-based natural<TITLE>An Analysis of Human's Disagreement about the validity of natural language inferring textual entailments in RTE-based In,<TITLE>Exploring Human Disagreement about the Validity of Natural Language Inference Tasks<TITLE>Human Disagreement about Natural Language Inference: A Case for Refined Evaluation Objective<TITLE>Exploring Human Disagreement about the Validity of Natural Language Inference<TITLE>Exploring Human Disagreement about Natural Language Inference<TITLE>Human Disagreement about Natural Language Inference,<TITLE>Understanding the Validity of Natural Language Inferences<TITLE>Uncertainty in Natural Language Inferences<TITLE>Uncertainty in Natural Language Inference<TITLE>Understanding the Validity of Natural Language Inference<TITLE>Analyzing Natural Language Inferences,<TITLE> Noise vs. Natural Language Inference: An Empirical Study<TITLE> Noise vs. Confident Natural Language Inference<TITLE> Noise vs. Natural Language Inference: An Empirical Analysis<TITLE> Noise vs. Natural Language Inference<TITLE> Are Natural Language Inference Systems Inconsistent?,<TITLE>Analyzing Human Disagreements about the validity of Natural Language Inference<TITLE>Analyzing Human's Disagreements about Natural Language Inference Models<TITLE>Analyzing Human's Disagreements about Natural Language Inference<TITLE>Analyzing Human Disagreements about Natural Language Inference Models<TITLE>Analyzing Human Disagreements about Natural Language Inference
7,Using Linguistic Principles to Recover Empty Categories,"This paper describes an algorithm for detecting empty nodes in the Penn Treebank (Marcus et al., 1993), finding their antecedents, and assigning them function tags, without access to lexical information such as valency. Unlike previous approaches to this task, the current method is not corpus-based, but rather makes use of the principles of early Government-Binding theory (Chomsky, 1981), the syntactic theory that underlies the annotation. Using the evaluation metric proposed by Johnson (2002), this approach outperforms previously published approaches on both detection of empty categories and antecedent identification, given either annotated input stripped of empty categories or the output of a parser. Some problems with this evaluation metric are noted and an alternative is proposed along with the results. The paper considers the reasons a principlebased approach to this problem should outperform corpus-based approaches, and speculates on the possibility of a hybrid approach.",<TITLE>An Evaluation Metric for Empty Node Detection in Penn Treebank<TITLE>An Evaluation Metric for Empty Nodes in Penn Treebank<TITLE>An Evaluation Metric for the Penn Treebank<TITLE>An Evaluation Metric for Empty Nodes Detection<TITLE>An Evaluation Metric for Empty Node Detection,<TITLE>A Corpus-Based Approach to the Automatic Discovery of Empty Categories and Their Antecedents in the Penn Treebank: An<TITLE>A Corpus-Based Approach to the Automatic Discovery of Empty Categories and Their Antecedents in the Penn Treebank for Lex<TITLE>A Corpus-Based Approach to the Automatic Discovery of Empty Categories and Their Antecedents in the Penn Treebank: A<TITLE>A Corpus-Based Approach to the Automatic Discovery of Empty Categories and Their Antecedents in the Penn Treebank: The<TITLE>A Corpus-Based Approach to the Automatic Discovery of Empty Categories and Their Antecedents in the Penn Treebank: Theory,<TITLE>A Principle-Based Approach to Empty Categories in the Penn Treebank<TITLE>A Principle-based Approach to Empty Categories in the Penn Treebank<TITLE>A Principle-Based Approach to Empty Categories in the Penn Treebank<TITLE>A Principle-Based Approach to Empty Categories and Function Tagging<TITLE>A Principle-Based Approach to Empty Categories in Treebanks,<TITLE>Detecting Lethal Nodes in the Penn Treebank<TITLE>Detecting Neural Nodes in the Penn Treebank<TITLE>Detecting empty nodes in the Penn Treebank<TITLE>Detecting Lethal Nodes in Penn Treebank<TITLE>Detecting Nodes in the Penn Treebank,<TITLE> Detecting Empty Categories and Antecedents in the Penn Treebank<TITLE> Identifying Empty Categories and Antecedents in the Penn Treebank<TITLE> Automatic Detection of Empty Categories<TITLE> Automatic Detection of Empty Categories and Antecedents<TITLE> Automatic Identification of Empty Categories,<TITLE>A Principle-Based Approach to Empty Node Detection in the Penn Treebank<TITLE>A Principle-based Approach to Empty Node Detection in the Penn Treebank<TITLE>A Principle-Based Approach to Empty Node Detection in the Penn TreeBank<TITLE>A Principle-Based Approach to Empty Node Detection in the Penn Tree Bank<TITLE>A Principle-based Approach to Empty Node Detection in the Penn TreeBank
8,Domain Adaptation with Active Learning for Word Sense Disambiguation,"When a word sense disambiguation (WSD) system is trained on one domain but applied to a different domain, a drop in accuracy is frequently observed. This highlights the importance of domain adaptation for word sense disambiguation. In this paper, we first show that an active learning approach can be successfully used to perform domain adaptation of WSD systems. Then, by using the predominant sense predicted by expectation-maximization (EM) and adopting a count-merging technique, we improve the effectiveness of the original adaptation process achieved by the basic active learning approach.",<TITLE>Active Learning for Domain Adaptation of Word Sense Disambiguation Systems<TITLE>Active Learning for Domain Adaptation of Word Sense Disambiguation System<TITLE>Active Learning for Domain Adaptation in Word Sense Disambiguation<TITLE>Active Learning for Domain Adaptation in Word Sense Disambiguation Systems<TITLE>Active Learning of Domain Adaptation for Word Sense Disambiguation,<TITLE>Active Domain Adaptation for Word Sense Disambiguation Using Expectation-Maximization Prediction and Count-Merging Techniques<TITLE>Active Domain Adaptation for Word Sense Disambiguation using Expectation-Maximization Prediction and Count-Merging Techniques<TITLE>Active Domain Adaptation for Word Sense Disambiguation Using Expectation-Maximization Prediction and Count-Merging Technique<TITLE>Active Domain Adaptation for Word Sense Disambiguation Using Expectation-Maximization Prediction and Count-Merging Methods<TITLE>Active Domain Adaptation for Word Sense Disambiguation using Expectation-Maximization Prediction and Count-Merging Technique,<TITLE>Domain Adaptation of Word Sense Disambiguation Systems<TITLE>Domain Adaptation for Word Sense Disambiguation<TITLE>Domain Adaptation for Word Sense Disambiguation<TITLE>Domain Adaptation for Word Sense Disambiguation<TITLE>Domain Adaptation for Word Sense Disambiguation,<TITLE>Active Domain Adaptation for Word Sense Disambiguation<TITLE>Active Learning for Word Sense Disambiguation with Active Learning<TITLE>Domain Adaptation for Word Sense Disambiguation<TITLE>Active Learning for Word Sentiment Disambiguation<TITLE>Active Learning for Word Sense Disambiguation,<TITLE> Domain Adaptation for Word Sense Disambiguation<TITLE> Active Learning for Word Sense Disambiguation<TITLE> Active Learning Improves Word Sense Disambiguation<TITLE> Domain Adaptation of Word Sense Disambiguation<TITLE> Domain Adaptation of Word Sense Disambiguation Systems,<TITLE>Active Learning and Count-merging for Domain Adaptation of Word Sense Disambiguation<TITLE>Active Learning and Count-Mating for Domain Adaptation of Word Sense Disambiguation<TITLE>Active Learning for Domain Adaptation of Word Sense Disambiguation Systems<TITLE>Active Learning for Domain Adaptation of Word Sense Disambiguation<TITLE>Active Learning for Domain Adaptation of Word Sense Disambiguations
9,CancerEmo: A Dataset for Fine-Grained Emotion Detection,"Emotions are an important element of human nature, often affecting the overall wellbeing of a person. Therefore, it is no surprise that the health domain is a valuable area of interest for emotion detection, as it can provide medical staff or caregivers with essential information about patients. However, progress on this task has been hampered by the absence of large labeled datasets. To this end, we introduce CancerEmo, an emotion dataset created from an online health community and annotated with eight fine-grained emotions. We perform a comprehensive analysis of these emotions and develop deep learning models on the newly created dataset. Our best BERT model achieves an average F1 of 71%, which we improve further using domain-specific pre-training.",<TITLE>CancerEmo: A Dataset for Fine-Grained Emotions<TITLE>CancerEmo: A Dataset of Fine-Grained Emotions<TITLE>CancerEmo: An Emotion Dataset for Health and Safety<TITLE>CancerEmo: An Emotion Dataset for Health Domain<TITLE>CancerEmo: A Dataset for Emotion Detection,<TITLE>C CancerEmo: A Dataset for Fine-Grained Emotion Detection and Domain Adaptation in Online Health Community<TITLE>C CancerEmo: A Dataset for Fine-Grained Emotion Detection and Domain Adaptation in an Online Health<TITLE>C CancerEmo: A Dataset for Fine-Grained Emotion Detection and Domain Adaptation in Online Health Communities<TITLE>C CancerEmo: A Dataset for Fine-Grained Emotion Detection and Domain Adaptation in a Health Community<TITLE>C CancerEmo: A Dataset for Fine-Grained Emotion Detection and Domain Adaptation in Health Community Communities,<TITLE>CancerEmo: A Large-Scale Dataset for Emotion Detection in the Health Domain<TITLE>CancerEmo: A Dataset for Fine-Grained Emotion Detection in Health Domain<TITLE>CancerEmo: A Large-Scale Dataset for Emotion Detection in the Health Domain<TITLE>CancerEmo: A Dataset for Fine-Grained Emotion Detection in the Health Domain<TITLE>CancerEmo: A Dataset for Fine-grained Emotion Detection in the Health Domain,<TITLE>CancerEmo: An Emotion Dataset for Emotion Detection<TITLE>CancerEmo: A Dataset of Emotions from an Online Health Community<TITLE>CancerEmo: A Dataset for Emotion Detection in Health<TITLE>CancerEmo: An Emotion Dataset created from an Online Health Community<TITLE>CancerEmo: An Emotion Dataset created from an online health community,<TITLE> CancerEmo: A Fine-Grained Emotion Dataset for Healthcare<TITLE> CancerEmo: A Fine-Grained Emotion Dataset for Health Care<TITLE> CancerEmo: A Fine-Grained Emotion Dataset<TITLE> CancerEmo: A Fine-Grained Emotion Dataset for Medical Care<TITLE> CancerEmo: A Corpus-based Emotion Dataset,<TITLE>CancerEmo: A Fine-Grained Dataset for Emotion Detection in Health<TITLE>CancerEmo: A Dataset for Fine-grained Emotion Detection in Health Domains<TITLE>CancerEmo: A Dataset for Fine-grained Emotion Detection in Health<TITLE>CancerEmo: A Dataset for Fine-Grained Emotions in Health<TITLE>CancerEmo: A Health Dataset for Fine-grained Emotion Detection
