,title,bart_base,bart_cnn,bart_xsum,t5_small,gpt2,pegasus_xsum
0,0.3539465665817261,,-0.9823906421661377,-0.2860545217990875,-0.48085764050483704,-0.22146855294704437,-0.3543887138366699
1,-0.6054522395133972,-0.546298623085022,,-0.6614630818367004,-0.5497830510139465,-0.5497830510139465,-0.97312331199646
2,-0.595119059085846,-0.7020475268363953,0.23960526287555695,-0.7020475268363953,-0.7020475268363953,,-0.7020475268363953
3,-0.9913505911827087,-1.0613398551940918,-1.9494074583053589,,-1.9509284496307373,-0.1499592512845993,0.23369914293289185
4,0.7371978163719177,,-0.678387463092804,-0.3761560618877411,-0.1856698840856552,-0.3226621747016907,-0.8868587017059326
5,-0.8723911643028259,-0.33029669523239136,-0.5314914584159851,-0.5079507827758789,-0.21564145386219025,,-0.49834129214286804
6,-0.021733155474066734,0.7038546800613403,,0.6282756924629211,0.8472434878349304,-0.4242286682128906,-0.14678151905536652
7,-0.19247324764728546,0.03243391215801239,-0.03935663402080536,-0.8780507445335388,,-0.9895003437995911,-0.43987300992012024
8,-0.6157469153404236,-0.5103514790534973,0.46285197138786316,-0.5504435896873474,-0.5444437861442566,-1.0308986902236938,
9,0.6189559102058411,,0.20293694734573364,0.5014891028404236,-0.08504281938076019,1.044026494026184,-0.1654099076986313
10,-0.9034816026687622,-1.0216978788375854,,-0.274231880903244,-0.6294286847114563,-1.9009795188903809,-1.7612158060073853
11,-0.4834979474544525,-0.4834979474544525,0.4160842001438141,,-0.4834979474544525,-0.4834979474544525,-0.4834979474544525
12,0.017333226278424263,-0.09282317757606506,-0.974855363368988,,0.1566077172756195,-1.032544732093811,-0.27353227138519287
13,0.20816010236740112,-0.28263556957244873,0.011793749406933784,0.5010022521018982,,-2.2727982997894287,-1.7165558338165283
14,-0.384428471326828,-1.1381088495254517,-0.4222138226032257,,-0.7962127327919006,-0.1637246310710907,-0.4496777355670929
15,-0.4157979190349579,-0.7874905467033386,,-0.6488206386566162,-1.3068000078201294,-2.208784341812134,0.11699016392230988
16,-0.791965663433075,-0.7448824048042297,-0.24408040940761566,-0.6347381472587585,-0.4471532106399536,0.4922620952129364,
17,-0.2994646728038788,-0.5066305994987488,-0.12349365651607513,-0.41778576374053955,,-0.2724990248680115,0.22174951434135437
18,0.1759391725063324,-0.5441979765892029,-0.8003399968147278,-0.2217339128255844,-0.5066708326339722,,-0.801706850528717
19,-0.3339676856994629,-1.0292061567306519,-0.4526388347148895,,-0.2173239290714264,0.5424164533615112,-0.6412233710289001
20,-0.020215122029185295,-0.718777596950531,-0.19937466084957123,-0.718777596950531,0.42233917117118835,-0.352931946516037,
21,0.45217329263687134,,0.3710843026638031,-0.6099438071250916,0.6351383924484253,0.5131677985191345,-0.34928324818611145
